latitude,longitude,title,reference_url,thumbnail_url
-27.742194,-48.558735,"Praia do Seu Ernesto",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.746423,-48.559433,"Praia do Seu Lino Cunha",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.752345,-48.561500,"Praia a Costeira do Ribeirão",https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.viagensecaminhos.com%2Fwp-content%2Fuploads%2F2011%2F02%2Fflorianopolis-praia-naufragados.jpg&imgrefurl=https%3A%2F%2Fwww.viagensecaminhos.com%2F2014%2F03%2Fribeirao-da-ilha-florianopolis.html&tbnid=7CE5yOqblcGrsM&vet=12ahUKEwiC7P2J2aj6AhXjA7kGHZI-AB4QMygIegUIARDMAQ..i&docid=yn91OnTd9WM_-M&w=1280&h=720&q=Praia%20a%20Costeira%20do%20Ribeir%C3%A3o%20Florian%C3%B3polis&ved=2ahUKEwiC7P2J2aj6AhXjA7kGHZI-AB4QMygIegUIARDMAQ,https://www.viagensecaminhos.com/wp-content/uploads/2011/02/florianopolis-praia-naufragados.jpg
-27.760378,-48.574379,"Praia do Caiacangaçu",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.764408,-48.577556,"Praia de Fora da Ponta do Caiacangaçu",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.770233,-48.573329,"Praia da Sinhá",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.780310,-48.572640,"Praia da Tapera do Sul",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.792379,-48.559899,"Praia Grande",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.812912,-48.559531,"Praia da Caieira da Barra do Sul",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.815019,-48.561052,"Praia do Seu Norberto",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
